"employee_id";"employee_name";"gender_clean";"age_clean";"city";"state";"department_id";"job_role_id";"joining_date_clean";"employment_status_clean";"salary_clean";"tenure_years"
1;"Aarav Sharma";"Male";41;"Indore";"Madhya Pradesh";3;4;"2019-03-09";"Inactive";237300.0;7.5
2;"Aarav Sharma";"Female";57;"Pune";"Maharashtra";5;1;"2020-01-07";"Active";36300.0;6.7
3;"Aarav Sharma";"Female";0;"Pune";"Maharashtra";7;9;"2026-05-17";"Inactive";50600.0;0.4
4;"Aarav Sharma";"Male";31;"Indore";"Madhya Pradesh";9;4;"2023-07-21";"Active";210700.0;3.2
5;"Aarav Sharma";"Female";39;"Indore";"Madhya Pradesh";10;1;"2015-05-20";"Active";154700.0;11.3
6;"Vivaan Verma";"Male";0;"Kolkata";"West Bengal";8;14;"2022-11-21";"On Leave";225200.0;3.8
7;"Vivaan Verma";"Female";50;"Kochi";"Kerala";6;12;"2021-02-08";"Inactive";187900.0;5.6
8;"Vivaan Verma";"Female";54;"Delhi";"Delhi";5;6;"2020-03-30";"Active";240700.0;6.5
9;"Vivaan Verma";"Male";53;"Lucknow";"Uttar Pradesh";2;1;"2018-11-25";"Active";187000.0;7.8
10;"Vivaan Verma";"Male";60;"Jaipur";"Rajasthan";3;1;"2016-09-14";"Active";128700.0;10.0
11;"Vivaan Verma";"Male";53;"Indore";"Madhya Pradesh";1;13;"2017-03-30";"Active";120700.0;9.5
12;"Vivaan Verma";"Male";42;"Kolkata";"West Bengal";11;8;"2026-02-13";"Active";243100.0;0.6
13;"Aditya Gupta";"Male";25;"Noida";"Uttar Pradesh";9;1;"2015-08-12";"Active";225800.0;11.1
14;"Aditya Gupta";"Female";31;"Gurgaon";"Haryana";12;9;"2022-09-16";"Active";108500.0;4.0
15;"Aditya Gupta";"Male";28;"Pune";"Maharashtra";7;14;"2015-07-21";"Active";83200.0;11.2
16;"Aditya Gupta";"Male";28;"Chandigarh";"Chandigarh";11;9;"2024-07-19";"Active";184300.0;2.2
17;"Aditya Gupta";"Female";57;"Noida";"Uttar Pradesh";10;13;"2017-12-30";"On Leave";235000.0;8.7
18;"Aditya Gupta";"Female";49;"Mumbai";"Maharashtra";1;4;"2024-01-05";"Active";246900.0;2.7
19;"Aditya Gupta";"Male";21;"Chennai";"Tamil Nadu";11;14;"2017-06-09";"On Leave";57500.0;9.3
20;"Aditya Gupta";"Male";47;"Chennai";"Tamil Nadu";11;14;"2021-05-26";"Inactive";77100.0;5.3
21;"Vihaan Singh";"Female";37;"Lucknow";"Uttar Pradesh";2;5;"2015-07-09";"On Leave";221700.0;11.2
22;"Vihaan Singh";"Female";31;"Ahmedabad";"Gujarat";1;6;"2020-01-17";"Active";155300.0;6.7
23;"Vihaan Singh";"Male";0;"Hyderabad";"Telangana";10;9;"2019-06-25";"Active";0.0;7.2
24;"Vihaan Singh";"Male";42;"Chandigarh";"Chandigarh";5;14;"2015-12-11";"Active";188300.0;10.8
25;"Vihaan Singh";"Male";30;"Delhi";"Delhi";3;6;"2022-12-23";"Active";152200.0;3.8
26;"Vihaan Singh";"Male";30;"Jaipur";"Rajasthan";2;14;"2022-01-14";"Active";0.0;4.7
27;"Vihaan Singh";"Female";56;"Pune";"Maharashtra";3;3;"2025-05-19";"On Leave";80600.0;1.3
28;"Vihaan Singh";"Male";56;"Kochi";"Kerala";6;6;"2017-12-31";"Inactive";180900.0;8.7
29;"Vihaan Singh";"Male";22;"Lucknow";"Uttar Pradesh";11;2;"";"On Leave";210600.0;0.0
30;"Arjun Kumar";"Male";0;"Mumbai";"Maharashtra";10;6;"2018-08-21";"Active";167900.0;8.1
31;"Arjun Kumar";"Female";0;"Chandigarh";"Chandigarh";13;8;"2016-09-27";"Active";120700.0;10.0
32;"Arjun Kumar";"Female";60;"Pune";"Maharashtra";5;9;"2019-04-30";"On Leave";59200.0;7.4
33;"Arjun Kumar";"Female";0;"Ahmedabad";"Gujarat";6;1;"2018-11-01";"Active";177100.0;7.9
34;"Arjun Kumar";"Female";26;"Kochi";"Kerala";4;14;"2020-09-11";"Active";242600.0;6.0
35;"Arjun Kumar";"Female";0;"Ahmedabad";"Gujarat";13;9;"2020-08-24";"On Leave";205700.0;6.1
36;"Arjun Kumar";"Male";0;"Noida";"Uttar Pradesh";2;8;"2020-08-22";"Active";220600.0;6.1
37;"Arjun Kumar";"Male";58;"Chennai";"Tamil Nadu";3;2;"2018-10-10";"Active";122400.0;8.0
38;"Arjun Kumar";"Male";0;"Lucknow";"Uttar Pradesh";6;14;"2024-12-02";"On Leave";65600.0;1.8
39;"Arjun Kumar";"Female";29;"Kolkata";"West Bengal";10;2;"2024-09-24";"Active";69600.0;2.0
40;"Arjun Kumar";"Male";29;"Chennai";"Tamil Nadu";2;11;"2022-05-11";"Active";112500.0;4.4
41;"Arjun Kumar";"Male";35;"Gurgaon";"Haryana";10;8;"2019-12-16";"Inactive";110800.0;6.8
42;"Sai Patel";"Male";35;"Indore";"Madhya Pradesh";8;13;"2018-07-20";"Active";174700.0;8.2
43;"Sai Patel";"Male";0;"Chennai";"Tamil Nadu";12;4;"2026-03-20";"On Leave";73900.0;0.5
44;"Sai Patel";"Male";21;"Kolkata";"West Bengal";12;4;"2016-01-10";"Active";136900.0;10.7
45;"Sai Patel";"Female";40;"Chandigarh";"Chandigarh";9;11;"2017-10-17";"Active";249700.0;8.9
46;"Sai Patel";"Male";54;"Chandigarh";"Chandigarh";12;12;"2023-05-29";"Inactive";216600.0;3.3
47;"Sai Patel";"Male";55;"Mumbai";"Maharashtra";7;1;"2015-12-23";"Active";154800.0;10.8
48;"Sai Patel";"Female";0;"Noida";"Uttar Pradesh";5;8;"2021-05-24";"Inactive";141100.0;5.3
49;"Sai Patel";"Male";31;"Lucknow";"Uttar Pradesh";13;2;"2017-09-02";"On Leave";175000.0;9.1
50;"Reyansh Reddy";"Female";47;"Ahmedabad";"Gujarat";1;2;"2015-08-12";"Active";50600.0;11.1
51;"Reyansh Reddy";"Male";39;"Delhi";"Delhi";1;13;"2021-09-13";"Active";41000.0;5.0
52;"Reyansh Reddy";"Male";44;"Jaipur";"Rajasthan";2;9;"2025-05-07";"Inactive";56800.0;1.4
53;"Krishna Nair";"Female";21;"Ahmedabad";"Gujarat";10;10;"2026-06-30";"Inactive";59800.0;0.2
54;"Krishna Nair";"Male";56;"Jaipur";"Rajasthan";2;11;"2024-02-21";"Active";47900.0;2.6
55;"Krishna Nair";"Male";0;"Noida";"Uttar Pradesh";9;5;"2018-07-30";"Inactive";27700.0;8.2
56;"Krishna Nair";"Female";60;"Indore";"Madhya Pradesh";4;4;"2025-07-13";"Active";196000.0;1.2
57;"Krishna Nair";"Male";25;"Kochi";"Kerala";3;7;"2024-07-02";"On Leave";187500.0;2.2
58;"Ishaan Iyer";"Female";0;"Hyderabad";"Telangana";6;13;"2019-09-26";"On Leave";57200.0;7.0
59;"Ishaan Iyer";"Male";39;"Delhi";"Delhi";5;6;"2018-03-09";"On Leave";127600.0;8.5
60;"Ishaan Iyer";"Female";59;"Chandigarh";"Chandigarh";7;9;"2025-07-18";"Active";236200.0;1.2
61;"Ishaan Iyer";"Male";42;"Indore";"Madhya Pradesh";12;14;"2015-03-20";"Active";45100.0;11.5
62;"Shaurya Menon";"Male";26;"Jaipur";"Rajasthan";10;2;"2016-12-27";"Active";96600.0;9.7
63;"Shaurya Menon";"Female";41;"Mumbai";"Maharashtra";12;1;"2021-12-02";"Active";238500.0;4.8
64;"Shaurya Menon";"Male";36;"Mumbai";"Maharashtra";1;3;"2018-02-13";"On Leave";112000.0;8.6
65;"Shaurya Menon";"Male";0;"Kolkata";"West Bengal";10;11;"2026-03-07";"Active";30300.0;0.5
66;"Shaurya Menon";"Female";47;"Lucknow";"Uttar Pradesh";7;8;"2022-07-03";"Active";141500.0;4.2
67;"Shaurya Menon";"Male";24;"Kolkata";"West Bengal";12;14;"2015-12-08";"Active";99100.0;10.8
68;"Shaurya Menon";"Female";40;"Chennai";"Tamil Nadu";13;6;"2021-02-04";"Active";0.0;5.6
69;"Rohan Rao";"Female";47;"Mumbai";"Maharashtra";6;3;"2024-01-03";"Active";40300.0;2.7
70;"Rohan Rao";"Female";31;"Mumbai";"Maharashtra";13;1;"2026-05-14";"Inactive";201300.0;0.4
71;"Rohan Rao";"Male";57;"Jaipur";"Rajasthan";7;11;"2021-02-22";"Inactive";74000.0;5.6
72;"Rohan Rao";"Male";0;"Bengaluru";"Karnataka";1;12;"2023-11-02";"Active";107100.0;2.9
73;"Rohan Rao";"Male";50;"Bengaluru";"Karnataka";1;13;"2024-06-04";"Active";206800.0;2.3
74;"Rohan Rao";"Male";58;"Pune";"Maharashtra";12;7;"2025-08-06";"Active";237200.0;1.1
75;"Rohan Rao";"Female";22;"Kochi";"Kerala";12;4;"2023-06-19";"Inactive";0.0;3.3
76;"Karan Chatterjee";"Female";55;"Bengaluru";"Karnataka";6;10;"2019-03-09";"Active";90900.0;7.5
77;"Karan Chatterjee";"Female";0;"Bengaluru";"Karnataka";8;12;"2024-05-28";"On Leave";195000.0;2.3
78;"Karan Chatterjee";"Female";43;"Pune";"Maharashtra";5;4;"2018-08-08";"Active";162600.0;8.1
79;"Karan Chatterjee";"Male";22;"Delhi";"Delhi";10;7;"2023-07-07";"Active";57500.0;3.2
80;"Karan Chatterjee";"Female";33;"Noida";"Uttar Pradesh";8;2;"2023-10-05";"Inactive";246500.0;3.0
81;"Rahul Mukherjee";"Female";44;"Chandigarh";"Chandigarh";9;10;"2015-10-14";"Active";0.0;10.9
82;"Rahul Mukherjee";"Male";47;"Lucknow";"Uttar Pradesh";8;12;"2024-02-12";"On Leave";184000.0;2.6
83;"Rahul Mukherjee";"Female";52;"Pune";"Maharashtra";4;14;"2024-10-27";"On Leave";231700.0;1.9
84;"Amit Banerjee";"Male";0;"Kochi";"Kerala";9;2;"2026-05-08";"Active";43200.0;0.4
85;"Amit Banerjee";"Female";45;"Hyderabad";"Telangana";11;5;"2023-03-10";"Active";51300.0;3.5
86;"Amit Banerjee";"Female";44;"Chennai";"Tamil Nadu";2;11;"2015-07-20";"Active";0.0;11.2
87;"Amit Banerjee";"Female";57;"Pune";"Maharashtra";1;9;"2022-02-23";"Active";229300.0;4.6
88;"Amit Banerjee";"Male";0;"Mumbai";"Maharashtra";11;14;"2021-05-03";"Inactive";240800.0;5.4
89;"Amit Banerjee";"Male";42;"Indore";"Madhya Pradesh";13;5;"2024-12-15";"Active";117800.0;1.8
90;"Amit Banerjee";"Male";22;"Bengaluru";"Karnataka";3;14;"2016-07-12";"Active";210300.0;10.2
91;"Amit Banerjee";"Female";0;"Ahmedabad";"Gujarat";10;7;"2024-12-30";"Inactive";69300.0;1.7
92;"Amit Banerjee";"Male";32;"Pune";"Maharashtra";7;7;"2020-02-22";"Inactive";39900.0;6.6
93;"Suresh Das";"Female";28;"Delhi";"Delhi";2;13;"2024-07-02";"Active";149100.0;2.2
94;"Suresh Das";"Female";52;"Hyderabad";"Telangana";9;2;"2019-08-17";"Inactive";39300.0;7.1
95;"Suresh Das";"Male";32;"Jaipur";"Rajasthan";7;10;"2015-03-14";"Active";49500.0;11.5
96;"Suresh Das";"Female";52;"Chennai";"Tamil Nadu";3;11;"2025-04-07";"On Leave";71800.0;1.5
97;"Suresh Das";"Female";48;"Lucknow";"Uttar Pradesh";13;9;"2017-06-25";"Active";91800.0;9.2
98;"Suresh Das";"Male";53;"Kolkata";"West Bengal";9;13;"2015-01-28";"Active";42800.0;11.7
99;"Suresh Das";"Female";46;"Ahmedabad";"Gujarat";8;14;"2024-06-30";"On Leave";25000.0;2.2
100;"Nikhil Bose";"Male";36;"Gurgaon";"Haryana";12;2;"2026-04-13";"On Leave";137600.0;0.4
101;"Nikhil Bose";"Male";26;"Delhi";"Delhi";9;11;"2022-09-24";"Active";232800.0;4.0
